date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:56	84883/84883	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:31:15%20GMT	http://broadmoorterrace.com/images/ste-living2.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/ste-living2.jpg	(from http://broadmoorterrace.com/guest_suite.html)
23:04:01	28686/28686	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:31:18%20GMT	http://broadmoorterrace.com/images/sunsetbanner.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/sunsetbanner.jpg	(from http://broadmoorterrace.com/info.html)
23:04:01	1911/1911	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:41%20GMT	http://broadmoorterrace.com/images/2bdr850-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr850-t.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:01	26244/26244	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:42%20GMT	http://broadmoorterrace.com/images/2bdr850.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr850.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:03	1958/1958	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:42%20GMT	http://broadmoorterrace.com/images/2bdr852-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr852-t.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:06	29126/29126	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:43%20GMT	http://broadmoorterrace.com/images/2bdr852.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr852.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:06	1840/1840	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:43%20GMT	http://broadmoorterrace.com/images/2bdr872-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr872-t.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:08	138788/138788	---M--	200	added ('OK')	image/gif	date:Mon,%2013%20Feb%202017%2023:31:07%20GMT	http://broadmoorterrace.com/images/map.gif	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/map.gif	(from http://broadmoorterrace.com/directions.html)
23:04:08	29903/29903	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:44%20GMT	http://broadmoorterrace.com/images/2bdr872.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr872.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:08	2082/2082	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:44%20GMT	http://broadmoorterrace.com/images/2bdr872a-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr872a-t.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:09	2041/2041	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:45%20GMT	http://broadmoorterrace.com/images/2bdr914-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr914-t.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:10	5674/5674	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:51%20GMT	http://broadmoorterrace.com/images/bedroom_2-t.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/bedroom_2-t.jpg	(from http://broadmoorterrace.com/guest_suite.html)
23:04:11	30694/30694	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:45%20GMT	http://broadmoorterrace.com/images/2bdr872a.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr872a.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:11	159284/159284	---M--	200	added ('OK')	image/gif	date:Mon,%2013%20Feb%202017%2023:31:19%20GMT	http://broadmoorterrace.com/images/wildlife.gif	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/wildlife.gif	(from http://broadmoorterrace.com/info.html)
23:04:13	33055/33055	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:30:46%20GMT	http://broadmoorterrace.com/images/2bdr914.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2bdr914.jpg	(from http://broadmoorterrace.com/apartments2.html)
23:04:19	89108/89108	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202017%2023:31:13%20GMT	http://broadmoorterrace.com/images/ste-kitchen.jpg	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/ste-kitchen.jpg	(from http://broadmoorterrace.com/guest_suite.html)
23:04:20	128673/128673	---M--	200	added ('OK')	image/gif	date:Mon,%2013%20Feb%202017%2023:30:47%20GMT	http://broadmoorterrace.com/images/2brdfurnished.gif	C:/My%20Web%20Sites/Broadmoor_Terrace/broadmoorterrace.com/images/2brdfurnished.gif	(from http://broadmoorterrace.com/apartments2.html)
